Transaction #,Operation #,Ignore,Datetime,Amount In,Amount Out,Amount currency,Description,Counterparty address,Counterparty name,Transaction hash,Blockchain,Wallet,transfer_from,transfer_to,transfer_amount,token_address,token_symbol,token_name,transfer_type,call,tx_hash,block_number,from_alias,to_alias,timestamp
91,2,True,2024-10-19 10:10:26,0.6066521776,,ETH,Transaction,0x04270219d365d6b017231b52e92b3fb5d7c8378b05e9abc97724537a80e93b0f,AVNU,0x06536072505ef34e41b8edd8b58086c1ae7ca369b27bf89da440f804ab61f4d9,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x04270219d365d6b017231b52e92b3fb5d7c8378b05e9abc97724537a80e93b0f,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0.6066521776,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,execute,transfer,0x06536072505ef34e41b8edd8b58086c1ae7ca369b27bf89da440f804ab61f4d9,813430,AVNU Exchange,,2024-10-19T10:10:26.000Z
91,3,True,2024-10-19 10:10:26,,4000.0000000000,STRK,Transaction,0x04270219d365d6b017231b52e92b3fb5d7c8378b05e9abc97724537a80e93b0f,AVNU,0x06536072505ef34e41b8edd8b58086c1ae7ca369b27bf89da440f804ab61f4d9,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x04270219d365d6b017231b52e92b3fb5d7c8378b05e9abc97724537a80e93b0f,4000.0000000000,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,Starknet Token,execute,transfer,0x06536072505ef34e41b8edd8b58086c1ae7ca369b27bf89da440f804ab61f4d9,813430,,AVNU Exchange,2024-10-19T10:10:26.000Z
90,1,True,2024-10-19 10:05:43,,0.0000182956,ETH,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x04ef05b643753db504e80a65e296c758ec6d7b0e6b7204200a79b289b047aa65,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0000182956,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,fee_transfer,transfer,0x04ef05b643753db504e80a65e296c758ec6d7b0e6b7204200a79b289b047aa65,813421,,StarkWare: Sequencer,2024-10-19T10:05:43.000Z
90,2,True,2024-10-19 10:05:43,0.9068585757,,ETH,Transaction,0x01583919ffd78e87fa28fdf6b6a805fe3ddf52f754a63721dcd4c258211129a6,,0x04ef05b643753db504e80a65e296c758ec6d7b0e6b7204200a79b289b047aa65,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01583919ffd78e87fa28fdf6b6a805fe3ddf52f754a63721dcd4c258211129a6,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0.9068585757,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,execute,transfer,0x04ef05b643753db504e80a65e296c758ec6d7b0e6b7204200a79b289b047aa65,813421,,,2024-10-19T10:05:43.000Z
90,3,True,2024-10-19 10:05:43,0.0479017200,,WBTC,Transaction,0x01583919ffd78e87fa28fdf6b6a805fe3ddf52f754a63721dcd4c258211129a6,,0x04ef05b643753db504e80a65e296c758ec6d7b0e6b7204200a79b289b047aa65,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01583919ffd78e87fa28fdf6b6a805fe3ddf52f754a63721dcd4c258211129a6,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0.0479017200,0x03fe2b97c1fd336e750087d68b9b867997fd64a2661ff3ca5a7c771641e8e7ac,WBTC,Wrapped BTC,execute,transfer,0x04ef05b643753db504e80a65e296c758ec6d7b0e6b7204200a79b289b047aa65,813421,,,2024-10-19T10:05:43.000Z
89,1,True,2024-10-19 10:03:10,,0.0000006270,ETH,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x07756f44e78b6f5f45a47557ae8ee6f8cabf6fbfbae3280af6eea8d8c3a40892,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0000006270,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,fee_transfer,transfer,0x07756f44e78b6f5f45a47557ae8ee6f8cabf6fbfbae3280af6eea8d8c3a40892,813416,,StarkWare: Sequencer,2024-10-19T10:03:10.000Z
89,2,True,2024-10-19 10:03:10,1376.2214190697,,STRK,Transaction,0x02ada1f8aff9b50c1816e1054260f8e5d41cbdcd5f4945be1e7924514ff4cc93,,0x07756f44e78b6f5f45a47557ae8ee6f8cabf6fbfbae3280af6eea8d8c3a40892,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x02ada1f8aff9b50c1816e1054260f8e5d41cbdcd5f4945be1e7924514ff4cc93,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,1376.2214190697,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,Starknet Token,execute,transfer,0x07756f44e78b6f5f45a47557ae8ee6f8cabf6fbfbae3280af6eea8d8c3a40892,813416,,,2024-10-19T10:03:10.000Z
89,3,True,2024-10-19 10:03:10,893.5560559028,,STRK,Transaction,0x02fb7fccac476f59c90d707d0260901d5325ad327928bfab8a463e84610ee5de,,0x07756f44e78b6f5f45a47557ae8ee6f8cabf6fbfbae3280af6eea8d8c3a40892,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x02fb7fccac476f59c90d707d0260901d5325ad327928bfab8a463e84610ee5de,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,893.5560559028,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,Starknet Token,execute,transfer,0x07756f44e78b6f5f45a47557ae8ee6f8cabf6fbfbae3280af6eea8d8c3a40892,813416,,,2024-10-19T10:03:10.000Z
88,1,True,2024-10-18 14:51:08,8137.0000000000,,STRK,Transaction,0x01355a4c0a859f3f4e163e7700f6034bda0de11e55eb64978f6fd914001a54b0,,0x0524ae7626ca358b02ecdd097de52ab9785f1ce0b8c927aab80ddabc95f914d0,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01355a4c0a859f3f4e163e7700f6034bda0de11e55eb64978f6fd914001a54b0,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,8137.0000000000,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,STRK,Starknet Token,fee_transfer,transfer,0x0524ae7626ca358b02ecdd097de52ab9785f1ce0b8c927aab80ddabc95f914d0,811282,,,2024-10-18T14:51:08.000Z
87,1,True,2024-10-16 23:00:28,,0.0000024206,ETH,Transaction,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,Starknet,0x07d36dc13e51de5e2500b4d60e4ae77c1ced79218874e1971edcb9cf28e9cd40,Starknet,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x035b6530ef09e227ca9f92efb66df12d0da9fface35ecd53b53a918c7d4eaa75,0x01176a1bd84444c89232ec27754698e5d2e7e1a7f1539f12027f28b23ec9f3d8,0.0000024206,0x049d36570d4e46f48e99674bd3fcc84644ddd6b96f7c741b1562b82f9e004dc7,ETH,Ether,fee_transfer,transfer,0x07d36dc13e51de5e2500b4d60e4ae77c1ced79218874e1971edcb9cf28e9cd40,806868,,StarkWare: Sequencer,2024-10-16T23:00:28.000Z
